,Demanda,Produccion
2021-08-15,623451,421200
2021-08-16,613494,435444
2021-08-17,613503,441492
2021-08-18,614782,446517
2021-08-19,620214,452040
2021-08-20,621721,450348
2021-08-21,637364,448830
2021-08-22,656596,445951
2021-08-23,656466,448144
2021-08-24,656040,444436
2021-08-25,657765,451847
2021-08-26,655276,439930
2021-08-27,646640,439395
2021-08-28,630643,445058
2021-08-29,631116,445285
2021-08-30,630253,441185
2021-08-31,623163,443244
2021-09-01,610319,453020
2021-09-02,580506,365019
2021-09-03,571332,348438
2021-09-04,568223,371218
2021-09-05,567573,410859
2021-09-06,586870,422796
2021-09-07,559868,405204
2021-09-08,528628,398529
2021-09-09,529700,376452
2021-09-10,503899,371348
2021-09-11,478581,372349
2021-09-12,482806,369240
2021-09-13,491909,373630
2021-09-14,484940,372746
2021-09-15,484188,373822
2021-09-16,493007,378837
2021-09-17,498120,380466
2021-09-18,480975,374715
2021-09-19,467875,371554
2021-09-20,470040,368716
2021-09-21,464640,358906
2021-09-22,457682,361068
2021-09-23,439664,371734
2021-09-24,430590,370557
2021-09-25,398165,375843
2021-09-26,392506,377639
2021-09-27,394221,371685
2021-09-28,431073,348646
2021-09-29,431244,355952
2021-09-30,617053,368412
2021-10-01,609663,368504
2021-10-02,403584,262720
2021-10-03,397250,273672
2021-10-04,397250,291624
2021-10-05,397250,297487
2021-10-06,455833,291842
2021-10-07,415282,302761
2021-10-08,427562,312544
2021-10-09,428657,327902
2021-10-10,422271,330412
2021-10-11,425414,302048
2021-10-12,441511,307049
2021-10-13,458126,330035
2021-10-14,461581,349468
2021-10-15,467984,355281
2021-10-16,481093,368376
2021-10-17,494785,365741
2021-10-18,482683,364832
2021-10-19,485142,364029
2021-10-20,487286,370154
2021-10-21,486276,368741
2021-10-22,488746,369720
2021-10-23,507098,363483
2021-10-24,534236,362650
2021-10-25,539782,368026
2021-10-26,494010,366358
2021-10-27,513107,369744
2021-10-28,490009,371431
2021-10-29,503928,368859
2021-10-30,521059,373796
2021-10-31,534221,361880
2021-11-01,530555,384549
2021-11-02,363589,261008
2021-11-03,349016,266390
2021-11-04,336906,271649
2021-11-05,324271,271386
2021-11-06,317941,261876
2021-11-07,343500,261264
2021-11-08,344890,260377
2021-11-09,333171,265327
2021-11-10,320410,268437
2021-11-11,323524,264163
2021-11-12,313559,254121
2021-11-13,288637,254120
2021-11-14,320708,248361
2021-11-15,351928,187266
2021-11-16,339184,230758
2021-11-17,306974,245055
2021-11-18,283218,250199
2021-11-19,279274,243992
2021-11-20,300143,245927
2021-11-21,306886,250691
2021-11-22,285647,246000
2021-11-23,281255,238801
2021-11-24,278143,239103
2021-11-25,279917,232224
2021-11-26,290838,220695
2021-11-27,287078,211192
2021-11-28,277380,232226
2021-11-29,265064,238819
2021-11-30,293323,238343
2021-12-01,286832,221201
2021-12-02,275858,222448
2021-12-03,397432,289005
2021-12-04,395777,288843
2021-12-05,395591,283581
